Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
INV-00415,B,Mandalay,Member,male,Food and beverages,66.5,2,6.65,139.65,2023-02-17,19:04,Cash,133.0,4.7619047619,6.65,7.5
INV-01442,A,Yangon,Member,Female,Food and beverages,74.49,4,14.898,312.858,2023-05-05,18:30,Ewallet,297.96,4.7619047619,14.898,6.5
INV-00352,C,Naypyitaw,Normal,Female,Electronic accessories,44.66,5,11.165,234.46499999999997,2023-05-14,17:22,Cash,223.29999999999998,4.7619047619,11.165,5.6
INV-00353,B,Mandalay,Member,Male,Home and lifestyle,86.93,6,26.079,547.659,2023-04-15,17:02,Credit card,521.58,4.7619047619,26.079,9.1
INV-00579,B,Mandalay,Normal,Male,Sports and travel,57.11,8,22.844,479.724,2023-12-06,17:22,Credit card,456.88,4.7619047619,22.844,4.1
INV-00355,A,Yangon,Member,Female,Electronic accessories,89.52,9,40.284,845.9639999999999,2023-06-10,16:17,Ewallet,805.68,4.7619047619,40.284,9.8
INV-00351,B,Mandalay,Normal,Male,Home and lifestyle,63.82,2,6.382,134.022,2023-06-11,16:10,Credit card,127.64,4.7619047619,6.382,4.6
INV-00241,C,Naypyitaw,Normal,Male,Home and lifestyle,98.72,2,9.872,207.312,2023-05-02,17:29,Credit card,197.44,4.7619047619,9.872,5.6
INV-00262,C,Naypyitaw,Normal,Male,Fashion accessories,72.84,4,14.568,305.928,2023-08-28,10:26,Ewallet,291.36,4.7619047619,14.568,7.7
INV-01038,C,Naypyitaw,Normal,female,Fashion accessories,22.32,5,5.58,117.17999999999999,2023-10-28,11:07,Cash,111.6,4.7619047619,5.58,5.3
INV-01002,B,Mandalay,Member,Male,Fashion accessories,33.86,5,8.465,177.76500000000001,2023-04-26,13:16,Ewallet,169.3,4.7619047619,8.465,5.9
INV-00969,B,Mandalay,Normal,Male,Health and beauty,87.0,1,4.35,91.35,2023-12-05,20:31,Cash,87.0,4.7619047619,4.35,7.5
INV-00066,B, Mandalay ,Normal,Female,Fashion accessories,29.11,1,1.4555,30.5655,2023-04-27,12:36,Ewallet,29.11,4.7619047619,1.4555,4.9
INV-01297,A,Yangon,Normal,Male,,33.64,1,1.682,35.322,2023-10-17,20:47,Credit card,33.64,4.7619047619,1.682,7.9
INV-00031,B,Mandalay,Member,Male,Health and beauty,35.1,10,17.55,368.55,2023-05-23,11:05,Ewallet,351.0,4.7619047619,17.55,9.7
INV-00465,C, Naypyitaw ,Normal,female,Sports and travel,84.47,6,25.341,532.161,2023-06-20,15:55,Ewallet,506.82,4.7619047619,25.341,5.5
INV-01382,B,Mandalay,Member,Male,Health and beauty,59.53,10,29.765,625.0649999999999,2023-12-25,16:44,Ewallet,595.3,4.7619047619,29.765,5.5
INV-00092,C,Naypyitaw,Normal,Male,Fashion accessories,59.2,5,14.8,310.8,2023-08-25,19:31,Ewallet,296.0,4.7619047619,14.8,6.0
INV-00176,A,Yangon,Normal,M,Sports and travel,79.07,6,23.721,498.14099999999996,2023-07-11,15:45,Ewallet,474.41999999999996,4.7619047619,23.721,4.3
INV-00169,A,Yangon,Normal,F,Sports and travel,33.11,10,16.555,347.65500000000003,2023-11-17,10:28,Cash,331.1,4.7619047619,16.555,5.8
INV-00980,B,Mandalay,Normal,Female,Health and beauty,27.26,8,10.904,228.984,2023-12-19,15:38,Ewallet,218.08,4.7619047619,10.904,7.3
INV-01010,B,Mandalay,Normal,Female,Food and beverages,83.04,1,4.152,87.19200000000001,2023-06-07,16:34,Ewallet,83.04,4.7619047619,4.152,7.1
INV-00530,C,Naypyitaw,Normal,Male,Electronic accessories,33.94,5,8.485,178.185,2023-12-07,14:37,Ewallet,169.7,4.7619047619,8.485,6.3
INV-00276,B,Mandalay,Normal,Female,Food and beverages,60.25,7,21.0875,442.8375,2023-08-18,19:00,Cash,421.75,4.7619047619,21.0875,9.3
INV-01025,C,Naypyitaw,Normal,Female,Health and beauty,32.39,10,16.195,340.09499999999997,2023-08-13,10:06,Cash,323.9,4.7619047619,16.195,8.3
INV-00825,B,Mandalay,Member,,Electronic accessories,20.42,9,9.189,192.96900000000002,2023-11-09,14:35,Cash,183.78000000000003,4.7619047619,9.189,5.7
INV-00345,B,Mandalay,Normal,male,Fashion accessories,43.64,4,8.728,183.288,2023-02-11,12:34,Ewallet,174.56,4.7619047619,8.728,
INV-00238,A,Yangon,Member,,Food and beverages,94.69,7,33.1415,695.9714999999999,2023-06-19,17:57,Credit card,662.8299999999999,4.7619047619,33.1415,5.1
INV-01068,A,Yangon,Member,female,Sports and travel,51.96,2,5.196,109.116,2023-05-28,14:48,Ewallet,103.92,4.7619047619,5.196,5.5
INV-00060,B,Mandalay,Normal,Female,,94.88,4,18.976,398.496,2023-10-23,20:53,Cash,379.52,4.7619047619,18.976,6.8
INV-00325,C,Naypyitaw,Member,Male,Sports and travel,55.32,10,27.66,580.86,2023-09-15,10:20,Cash,553.2,4.7619047619,27.66,4.2
